mappath	city	weather	temp	last_update
qinghai,haibei tibetan	海北	多云	-21	2017-01-23T02:10:00+08:00
hubei,xianning	咸宁	晴	5	2017-01-23T02:05:00+08:00
jiangxi,ganzhou	赣州	多云	5	2017-01-23T02:05:00+08:00
jiangsu,wuxi	无锡	多云	-4	2017-01-23T02:10:00+08:00
xinjiang uygur,ili kazakh	N/A	N/A	N/A	N/A
shandong,jinan	济南	晴	-5	2017-01-23T02:05:00+08:00
heilongjiang,mudanjiang	牡丹江	晴	-24	2017-01-23T02:00:00+08:00
hebei,baoding	保定	多云	-8	2017-01-23T02:10:00+08:00
shandong,jining	济宁	晴	-2	2017-01-23T02:10:00+08:00
zhejiang,quzhou	衢州	晴	3	2017-01-23T02:05:00+08:00
nei mongol,hulunbuir	N/A	N/A	N/A	N/A
xinjiang uygur,hami	哈密	多云	-16	2017-01-23T01:50:00+08:00
jilin,songyuan	松原	晴	-20	2017-01-23T02:00:00+08:00
guangdong,jiangmen	江门	晴	12	2017-01-23T02:10:00+08:00
anhui,huangshan	黄山	晴	1	2017-01-23T02:10:00+08:00
shandong,laiwu	莱芜	晴	-6	2017-01-23T02:05:00+08:00
zhejiang,huzhou	湖州	晴	-1	2017-01-23T01:50:00+08:00
liaoning,anshan	鞍山	晴	-15	2017-01-23T02:00:00+08:00
hainan,haikou	海口	多云	15	2017-01-23T02:05:00+08:00
nei mongol,xilin gol	N/A	N/A	N/A	N/A
hubei,shennongjia	神农架	多云	1	2017-01-23T02:12:00+08:00
shanghai,shanghai	上海	多云	2	2017-01-23T02:13:00+08:00
jiangxi,jingdezhen	景德镇	晴	3	2017-01-23T02:10:00+08:00
heilongjiang,heihe	黑河	多云	-26	2017-01-23T01:50:00+08:00
heilongjiang,qiqihar	N/A	N/A	N/A	N/A
jiangsu,suzhou	苏州	多云	0	2017-01-23T02:10:00+08:00
guangdong,yunfu	云浮	晴	8	2017-01-23T02:10:00+08:00
shaanxi,weinan	渭南	多云	-1	2017-01-23T01:50:00+08:00
shandong,yantai	烟台	多云	-6	2017-01-23T02:10:00+08:00
nei mongol,hohhot	N/A	N/A	N/A	N/A
tianjin,tianjin	天津	晴	-5	2017-01-23T02:15:00+08:00
zhejiang,hangzhou	杭州	多云	2	2017-01-23T02:10:00+08:00
jiangxi,xinyu	新余	晴	5	2017-01-23T02:15:00+08:00
xinjiang uygur,turfan	N/A	N/A	N/A	N/A
fujian,putian	莆田	晴	9	2017-01-23T02:05:00+08:00
jiangxi,jiujiang	九江	晴	2	2017-01-23T02:15:00+08:00
hebei,chengde	承德	晴	-15	2017-01-23T02:15:00+08:00
henan,jiaozuo	焦作	晴	0	2017-01-23T02:15:00+08:00
sichuan,ziyang	资阳	多云	8	2017-01-23T02:15:00+08:00
